shortname,pi,pi_unc,pi_ref,Lbol,Lbol_unc,age,radius,radius_unc,logg,logg_unc,teff,teff_unc,mass,mass_unc
1828-4849,83.7,7.7,9,-4.97,0.08,0.500-10.00,0.95,0.16,5.01,0.48,1060,103,45.21,27.07
1835+3259,176.5,0.5,38,-3.50,0.00,0.500-10.00,1.07,0.05,5.22,0.11,2316,51,77.28,10.34
1841+3117,23.57,1.89,7,-3.89,0.07,0.500-10.00,1.01,0.07,5.21,0.18,1914,104,66.52,14.30
1843+4040,70.7,0.8,21,-3.11,0.01,0.500-10.00,1.22,0.03,5.20,0.05,2731,40,95.94,7.87
1916+0508,170.1,0.8,21,-3.31,0.00,0.500-10.00,1.13,0.04,5.22,0.08,2531,42,85.15,8.44
2000-7523,31,1,4,-2.97,0.03,0.012-0.022,1.88,0.11,4.19,0.14,2375,79,24.75,6.06
2047-0718,49.9,7.9,9,-4.86,0.14,0.500-10.00,0.96,0.17,5.00,0.50,1124,134,46.25,27.71
2057-0252,70.1,3.7,9,-3.76,0.05,0.500-10.00,1.02,0.07,5.22,0.15,2044,87,69.56,13.04
2101+1756,30.14,3.42,7,-4.34,0.10,0.500-10.00,,,,
2104-1037,53,1.71,3,-3.81,0.03,0.500-10.00,1.02,0.07,5.21,0.16,1994,73,68.59,12.82
2114-2251,40.7,2.4,4,-4.40,0.06,0.012-0.022,1.41,0.03,3.90,0.11,1210,41,7.09,1.98
2126-8140,31.3,2.6,4,-3.85,0.07,0.010-0.150,1.39,0.19,4.40,0.42,1663,135,23.80,15.19
2127-4215,28.9,6.2,16,-3.15,0.19,0.500-10.00,1.21,0.13,5.22,0.08,2676,320,93.91,18.63
2139+0220,101.5,2,39,-4.86,0.02,0.500-10.00,0.96,0.16,5.01,0.49,1123,94,46.29,26.87
2144+1446,55.91,0.45,2,-4.82,0.01,0.100-0.500,1.17,0.05,4.52,0.31,1043,23,20.16,9.42
2148+4003,124.07,0.55,10,-4.39,0.00,0.500-10.00,0.99,0.10,5.13,0.28,1446,72,55.03,18.55
2206-4217,35,0.3,4,-3.97,0.02,0.050-0.120,1.33,0.10,4.44,0.25,1588,62,21.74,8.52
2208+2921,21.2,0.7,8,-3.70,0.03,0.010-0.150,1.41,0.20,4.44,0.41,1804,132,26.71,15.54
2224-0158,86.2,1.1,1,-4.16,0.01,0.500-10.00,0.99,0.08,5.18,0.22,1646,71,60.57,15.26
2228-4310,94,7,9,-5.28,0.07,0.500-10.00,0.94,0.16,4.97,0.49,891,82,41.97,26.46
2234+4041,37,8,40,-2.94,0.19,0.001-0.010,,,,
2237+3922,51.17,1.62,2,-3.64,0.03,0.500-10.00,1.04,0.06,5.22,0.13,2173,72,72.87,11.93
2244+2043,58,0.4,4,-4.47,0.01,0.050-0.120,1.29,0.03,4.21,0.11,1209,17,11.91,2.79
2306-0502,82.58,2.58,20,-3.28,0.03,0.500-10.00,1.14,0.04,5.22,0.08,2557,64,86.07,9.28
2322-3133,58.6,5.6,9,-3.85,0.08,0.010-0.150,1.39,0.19,4.40,0.42,1665,141,23.93,15.43
2322-6151,22,1,4,-3.61,0.04,0.010-0.040,1.59,0.05,4.23,0.17,1793,53,17.35,5.44
2351-2537,49,10,4,-3.24,0.18,0.500-10.00,1.16,0.11,5.22,0.09,2590,291,88.31,17.40
2354-3316,44.24,1.78,41,-3.41,0.04,0.500-10.00,1.09,0.05,5.22,0.10,2423,75,80.46,10.73
